date,region,product_category,units_sold,unit_price,revenue,discount_pct
2/6/2023,North,Clothing,142,81.02,11504.72,0.169
2/7/2023,West,Food,205,9.6,1940.82,0.03
2/8/2023,North,Clothing,198,137.79,27382.02,0.277
2/9/2023,West,Food,189,46.99,8972.8,0.042
2/10/2023,West,Home,193,203.19,39172.27,0.067
2/11/2023,East,Food,105,41.08,4341.26,0.167
2/12/2023,East,Electronics,172,459.83,79128.22,0.229
2/13/2023,South,Electronics,204,423.31,86325.37,0.186
2/14/2023,East,Home,207,214.28,44281.18,0.07
2/15/2023,South,Electronics,148,103.35,15295.19,0
2/15/2023,South,Home,263,163.52,42997.12,0.227
2/16/2023,South,Clothing,156,142.03,22134.89,0.296
2/17/2023,South,Home,248,147.39,36574.84,0.243
2/18/2023,South,Food,221,26.93,5913.99,0.138
2/19/2023,North,Home,167,217.86,36325.02,0.271
2/20/2023,East,Clothing,288,129.08,37180.49,0.123
2/21/2023,South,Food,140,31.09,4371.9,0.157
2/22/2023,West,Clothing,245,21.92,5311.57,0.143
2/23/2023,East,Clothing,250,69.25,17358.9,
2/24/2023,East,Food,166,7.83,1211.26,0.233
2/25/2023,South,Home,269,67.16,18037.13,0.158
2/26/2023,North,Home,187,232.93,43545.01,0.095
2/26/2023,South,Food,214,38.45,8196.49,0.077
2/27/2023,North,Clothing,213,100.69,21418.72,0.011
2/28/2023,West,Clothing,193,40.17,7846.36,0.175
3/1/2023,East,Food,240,42.62,10186.26,0.069
3/2/2023,West,Electronics,239,130.35,31275.71,0.044
3/3/2023,North,Electronics,112,388.67,43552.9,0.196
3/4/2023,North,Clothing,265,54.41,14423.25,0.204
3/5/2023,West,Electronics,116,200.94,23332.85,0.226
3/6/2023,North,Electronics,251,286.98,72158.48,0.151
3/7/2023,West,Electronics,256,205.98,52681.2,0.268
3/8/2023,East,Electronics,145,330.35,47844.73,0.281
3/8/2023,West,Electronics,179,262.21,46897.85,0.242
3/9/2023,East,Home,144,72.94,10504.97,0.191
3/10/2023,West,Clothing,189,72.66,13646.45,0.091
3/11/2023,North,Clothing,184,79.14,14562.88,0.295
3/12/2023,West,Food,238,33.16,7976.76,0.082
3/13/2023,North,Electronics,265,224.46,59489.47,0.061
3/14/2023,West,Home,269,189.17,50872.1,0.133
3/15/2023,West,Food,171,28.04,4763.93,0.017
3/16/2023,South,Electronics,189,471.25,89111.18,0.294
3/17/2023,North,Clothing,115,31.67,3600.76,0.177
3/18/2023,South,Home,159,132.78,21204.34,0.167
3/19/2023,North,Home,248,184.87,45944.43,0.197
3/19/2023,South,Clothing,280,20.3,5696.84,
3/20/2023,East,Food,138,31.71,4375.4,0.01
3/21/2023,West,Electronics,170,217.25,36984.03,0.184
3/22/2023,North,Home,198,296.39,58739.96,0.215
3/23/2023,North,Electronics,214,427.15,91369.8,0.125
3/24/2023,West,Home,159,212.48,33757.99,0.227
3/25/2023,North,Food,221,41.12,9021.4,0.068
3/26/2023,North,Food,176,40.46,7141.41,0.066
3/27/2023,South,Clothing,199,96.03,19143.3,0.048
3/28/2023,North,Electronics,227,129.86,29410.72,0.112
3/29/2023,East,Electronics,200,491.84,98345.24,0.254
3/29/2023,East,Electronics,178,170.17,30222.9,
3/30/2023,West,Electronics,194,108.24,20953.62,
3/31/2023,North,Food,195,40.22,7870.45,0.177
4/1/2023,West,Clothing,181,102.54,18523.07,0.216
